time,sentpackets@tsung_controller@ip-172-31-31-91 
10,224 
20,454 
30,454 
40,454 
50,454 
60,454 
70,454 
80,921 
90,921 
100,921 
110,921 
120,1631 
130,1631 
140,1631 
150,1631 
160,1743 
170,3210 
180,3210 
190,3210 
200,3210 
210,4129 
220,7292 
230,7292 
240,7292 
250,7292 
260,7292 
270,13353 
280,13353 
290,13353 
300,13353 
310,13353 
320,15385 
330,29332 
340,29332 
350,29332 
360,29332 
370,29332 
380,29332 
390,29332 
400,56512 
410,60970 
420,60970 
430,60970 
440,60970 
450,60970 
460,60970 
470,61890 
480,94992 
490,112558 
500,112558 
510,112558 
520,112558 
526,112558 
